"In_Tree","Mass","FL_Breast","DL_Breast","PDL_Breast","PPL_Breast","AD_Breast","AP_Breast","AT_Breast","PAD_Breast","PAP_Breast","FL_Back","DL_Back","PDL_Back","PPL_Back","AD_Back","AP_Back","AT_Back","PAD_Back","PAP_Back","FL_Head","DL_Head","PDL_Head","PPL_Head","AD_Head","AP_Head","AT_Head","PAD_Head","PAP_Head","Temperature","Rainfall"
"Colinus cristatus",1.38,-0.191,0.0545,0.912,-0.912,-0.349,-0.0461,-0.051,0.38,-0.38,0.71,0.946,0.547,-0.547,0.463,-0.0379,0.294,0.757,-0.757,1.65,-0.815,-1.75,1.75,-0.798,1.14,0.164,-2.05,2.05,1.47,-0.813
"Oxyura jamaicensis",9.52,-0.224,-0.621,-1.43,1.43,-0.439,-0.0405,-0.0467,-1.16,1.16,0.284,-1.69,-4.08,4.08,-0.658,1.71,0.284,-3.18,3.18,0.00373,0.0135,0.0498,-0.0498,-0.00168,0.011,0.00474,0.0412,-0.0412,-1.05,0.421
"Pyrrhura calliptera",0.664,-0.0356,-0.267,-0.713,0.713,-0.277,-0.0334,-0.0373,-1.67,1.67,1.01,-0.258,-1.92,1.92,-0.21,2.52,0.927,-2.39,2.39,1.54,0.731,-0.248,0.248,1.4,3.6,2.75,-0.581,0.581,-1.37,-0.878
"Forpus conspicillatus",-0.205,-0.896,-1.06,-1.19,1.19,-0.773,-0.0482,-0.0591,-1.39,1.39,-0.404,-0.467,-0.287,0.287,-0.414,-0.164,-0.347,-0.704,0.704,-0.305,-0.189,0.0749,-0.0749,-0.295,0.176,-0.0723,-0.343,0.343,-1.07,-1.36
"Brotogeris jugularis",0.256,-0.487,-0.811,-1.42,1.42,-0.565,-0.0423,-0.0503,-1.34,1.34,0.431,-0.188,-1.06,1.06,0.00673,0.797,0.342,-0.82,0.82,1.1,-0.466,-1.24,1.24,1.41,3.16,2.52,-0.393,0.393,1.47,-0.813
"Pyrilia pyrilia",1.1,-0.586,-0.987,-1.81,1.81,-0.912,-0.0478,-0.0608,-1.79,1.79,0.783,0.137,-0.995,0.995,0.442,0.891,0.674,-0.319,0.319,0.875,0.0307,-0.631,0.631,-0.0813,1.25,0.634,-0.971,0.971,-0.135,0.917
"Hapalopsittaca amazonina",1.07,-0.216,-0.489,-0.948,0.948,-0.422,-0.0406,-0.0465,-1.1,1.1,1.2,-0.0331,-1.75,1.75,-0.148,2.32,0.885,-2.19,2.19,1.22,-0.026,-0.886,0.886,-0.188,0.749,0.301,-0.842,0.842,-2.33,-1.32
"Amazona farinosa",8.48,-1.1,-1.33,-1.65,1.65,-0.983,-0.0496,-0.0636,-1.76,1.76,-0.612,-1.38,-2.43,2.43,-0.965,-0.644,-0.919,-1.49,1.49,-1.1,-0.741,-0.0532,0.0532,-0.659,-0.842,-0.834,0.0247,-0.0247,1.14,-1.06
"Pionus menstruus",2.44,-0.138,-0.611,-1.59,1.59,-0.122,-0.0372,-0.0389,-0.834,0.834,1.21,0.0676,-1.59,1.59,0.261,3.25,1.55,-2.03,2.03,1.5,0.886,-0.0629,0.0629,2.49,2.28,2.66,0.482,-0.482,0.559,-1.35
"Pachyramphus cinnamomeus",-0.259,-0.773,-0.921,-0.78,0.78,-0.882,-0.0484,-0.0609,-1.29,1.29,-0.0279,-0.258,-0.554,0.554,-0.339,0.0639,-0.2,-0.647,0.647,0.447,0.787,0.719,-0.719,0.845,-0.0383,0.46,1.08,-1.08,0.255,2.44
"Pachyramphus albogriseus",-0.205,0.153,0.0543,-0.245,0.245,-0.258,-0.0442,-0.0478,0.117,-0.117,0.529,0.0909,-0.735,0.735,-0.0741,1.16,0.443,-1.31,1.31,0.252,0.794,0.965,-0.965,0.279,-0.186,0.0569,0.702,-0.702,-0.526,1.69
"Pachyramphus polychopterus",-0.273,-0.884,-1.1,-1.29,1.29,-0.927,-0.0495,-0.0626,-1.38,1.38,-0.311,-0.341,-0.164,0.164,-0.402,-0.672,-0.554,0.626,-0.626,0.0541,0.742,1.15,-1.15,0.0434,-0.466,-0.229,0.815,-0.815,1.17,0.175
"Pachyramphus versicolor",-0.341,-1.49,-1.42,0.692,-0.692,-1.08,-0.0532,-0.0685,0.692,-0.692,-1.73,-1.4,0.702,-0.702,-1.16,-1.25,-1.31,-0.157,0.157,-0.95,0.00807,1.61,-1.61,-0.515,-1.08,-0.883,1.37,-1.37,-2.15,-1.34
"Schiffornis turdina",-0.0694,-1.13,-1.16,-0.267,0.267,-0.994,-0.0519,-0.066,-0.0337,0.0337,-1.21,-0.842,0.834,-0.834,-0.902,-1.11,-1.07,0.698,-0.698,-1.19,-0.782,-0.0624,0.0624,-0.854,-1.04,-1.05,-0.336,0.336,1.35,0.0232
"Myiobius villosus",-0.341,-0.415,-0.308,0.5,-0.5,-0.513,-0.0473,-0.0546,0.322,-0.322,0.33,0.559,0.512,-0.512,0.432,0.223,0.384,0.385,-0.385,1.45,0.916,0.145,-0.145,1.6,0.91,1.41,0.736,-0.736,-0.0268,1.07
"Myiobius atricaudus",-0.382,-1.24,-1.27,-0.311,0.311,-1.05,-0.0521,-0.067,-0.831,0.831,-1.61,-1.39,0.119,-0.119,-1.08,-1.14,-1.21,-0.276,0.276,-1.54,-0.948,0.128,-0.128,-0.902,-1.22,-1.18,0.332,-0.332,0.378,0.508
"Myiopagis viridicata",-0.355,-0.503,-0.615,-0.466,0.466,-0.796,-0.0497,-0.061,-0.00437,0.00437,0.769,-0.298,-1.74,1.74,-0.68,0.246,-0.351,-1.81,1.81,0.44,-1.7,-2.75,2.75,-1.08,-0.199,-0.724,-2.83,2.83,0.32,0.569
"Myiarchus venezuelensis",-0.205,-1.16,-1.16,-0.0878,0.0878,-1.01,-0.0513,-0.0656,-1.01,1.01,-1.61,-1.47,-0.27,0.27,-1.24,-1,-1.25,-3.17,3.17,-0.658,0.136,1.25,-1.25,-0.245,-0.808,-0.579,1.05,-1.05,1.36,-1.22
"Myiarchus crinitus",-0.124,-0.73,-0.874,-0.727,0.727,-0.874,-0.0478,-0.0602,-1.48,1.48,0.193,0.135,-0.0994,0.0994,-0.382,1.62,0.431,-2.22,2.22,1.61,1.33,0.314,-0.314,0.438,1.09,0.845,-0.275,0.275,1.45,-1.47
"Myiarchus tyrannulus",-0.137,-1.17,-1.21,-0.296,0.296,-0.972,-0.0521,-0.0659,0.299,-0.299,-1.36,-0.957,1.05,-1.05,-0.916,-1.21,-1.13,1.37,-1.37,-1.1,-0.402,0.845,-0.845,-0.681,-1.11,-0.991,0.896,-0.896,1.22,-0.494
