"In_Tree","Mass","FL","DL","PL","PDL","PPL","AD","AP","AT","PAD","PAP","Temperature","Rainfall"
"Colinus cristatus",1.34,0.207,0.517,-0.11,0.916,-0.916,0.00392,-0.0299,-0.0299,0.505,-0.505,1.47,-0.813
"Oxyura jamaicensis",9.28,0.17,-0.186,0.449,-0.618,0.618,-0.102,-0.0217,-0.0235,-0.694,0.694,-1.05,0.421
"Aratinga wagleri",2.07,0.829,0.0848,1.32,-0.921,0.921,0.709,-0.00442,0.00812,-0.634,0.634,0.429,-0.809
"Pyrrhura calliptera",0.633,0.384,0.183,0.482,-0.146,0.146,0.0884,-0.0114,-0.0098,-1.1,1.1,-1.37,-0.878
"Forpus conspicillatus",-0.215,-0.597,-0.639,-0.436,-0.459,0.459,-0.495,-0.033,-0.0417,-0.878,0.878,-1.07,-1.36
"Brotogeris jugularis",0.235,-0.131,-0.383,0.12,-0.607,0.607,-0.251,-0.0244,-0.0289,-0.838,0.838,1.47,-0.813
"Pyrilia pulchra",1.11,1.49,0.404,2.14,-1.05,1.05,1.43,0.0227,0.0479,-0.976,0.976,0.494,-0.0873
"Pyrilia pyrilia",1.06,-0.243,-0.567,0.0942,-0.862,0.862,-0.659,-0.0325,-0.0441,-1.19,1.19,-0.135,0.917
"Hapalopsittaca amazonina",1.03,0.178,-0.0486,0.342,-0.3,0.3,-0.0821,-0.0219,-0.0233,-0.648,0.648,-2.33,-1.32
"Amazona farinosa",8.27,-0.834,-0.922,-0.584,-0.757,0.757,-0.742,-0.0351,-0.0482,-1.16,1.16,1.14,-1.06
"Pionus menstruus",2.37,0.267,-0.175,0.603,-0.721,0.721,0.271,-0.0169,-0.0121,-0.442,0.442,0.559,-1.35
"Tityra semifasciata",0.54,1.67,1.42,1.55,0.127,-0.127,2.27,0.00198,0.0422,0.285,-0.285,0.277,-0.427
"Pachyramphus cinnamomeus",-0.268,-0.456,-0.498,-0.324,-0.19,0.19,-0.623,-0.0333,-0.0443,-0.8,0.8,0.255,2.44
"Pachyramphus albogriseus",-0.215,0.598,0.517,0.547,0.16,-0.16,0.111,-0.0271,-0.0252,0.3,-0.3,-0.526,1.69
